date-time,headline,views,tags
2001-07-13 17:01:00,The AES-TELASI Does Not Want to Be Responsible for Around the Clock Electricity,8,
2001-07-14 15:30:00,Additional Units of Internal Army Have Been Moved in to Akhmeta Region Due to Worsened Crime Situation,4,
2001-07-14 15:55:00,Russia Wants to Create Disorder in Georgia,7,
2001-07-14 17:12:00,Double Citizenship – Useful or Dangerous,5,
2001-07-16 13:00:00,More and More Armed Volunteers Gather in Pankisi Valley,3,
2001-07-16 13:28:00,"Weekly Review of Ministries’ Activities. July 7-14, 2001",5,
2001-07-16 16:24:00,Tension in the Pankisi Valley Has Been Provoked by Russia,8,
2001-07-17 11:47:00,"Georgia Expects $ 52,5 Million from the World Bank in October",4,
2001-07-17 12:15:00,Georgia and Russia are Preparing for the 8th Round of Negotiations on the Military Issues,3,
2001-07-17 12:54:00,Two Freed in Pankisi Valley,6,
2001-07-17 13:10:00,Parliamentary Bargain Will Be Over Soon,4,
2001-07-17 15:00:00,The IMF Might Start Talking About Sequestering the Budget,3,
2001-07-17 16:36:00,A Lawyer Claims that the Police Has Beaten Him Up,9,
2001-07-17 16:56:00,Armed Population Has Released One Kist,6,
2001-07-17 17:47:00,The Government does Not Take the Opinion of NGOs into Consideration at All,2,
2001-07-18 13:24:00,Weekly Review of the Parliamentary Committees’ Sessions. July 9-15 2001,1,
2001-07-18 15:16:00,"Review of the Parliament’s Bureau Session. July 17, 2001",2,
2001-07-18 16:26:00,The Government Cannot Control the State, Population Is Replacing the Government,5
2001-07-18 18:01:00,“Get the Russian Military Forces out of Georgia”,5,
2001-07-18 18:05:00,The Ministry of Finances Grabs the Financing for the Defense System Away From the Central Budget and Assigns Its Execution to the Budget of the Autonomous Republic,3,
2001-07-19 11:16:00,The Parliament Has Adopted a Statement Concerning the Gudauta Military Base,8,
2001-07-19 11:30:00,Armed Georgian Population Has Released Five Kists and One Chechen Hostages,7,
2001-07-19 15:25:00,Both Georgians and Kists Blame the Law Enforcement Bodies,4,
2001-07-19 17:42:00,Police Kicks Homeless People Out of the Railway Station,3,
2001-07-19 18:09:00,The Police Cooperates with Criminals in the Pankisi Valley,7,
2001-07-20 13:50:00,Georgian Students are Getting United Against Corruption,4,
2001-07-20 15:23:00,Opposition charges the government with an attempt of postponing the local self – governance elections,4,
2001-07-21 14:42:00,Accusation: Government of Adjara Autonomous Republic Is Allied with Self-Declared Rep. of Abkhazia,6,
2001-07-23 11:41:00,"Weekly Review of the Parliamentary Committees’ Sessions. July 16-23,2001",5,
2001-07-23 13:23:00,"Parliament’s Weekly Review. July 16-21, 2001",6,
2001-07-23 13:27:00,President Shevardnadze Does Not Confirm the Release of Kidnapped Spaniard Businessmen,2,
2001-07-23 14:36:00,"Review of Government Meeting. Jule 18, 2001",4,
2001-07-23 14:48:00,The Police Beat an Innocent Man Up,3,
2001-07-23 16:54:00,"President’s Briefing. Monday, July 23, 2001",5,
2001-07-23 16:59:00,Regionalism – Useful or Not,6,
2001-07-23 18:10:00,"Weekly Review of the Parliament’s Plenary Sessions. Extraordinary Session, July 18-20, 2001",5,
2001-07-24 13:20:00,Own Laws are Chosen in the Kodori Gorge,4,
2001-07-24 14:53:00,The Finance Ministry Wants to Increase Tax to the Press,2,
2001-07-24 16:43:00,Elene Tevdoradze Is Scared to Give Information Away,6,
2001-07-24 17:21:00,"Weekly Review of Ministries’ Activities. July 14-23, 2001",7,
2001-07-25 15:52:00,Conflict Between the Parliament and President’s Regional Management Service,3,
2001-07-25 15:57:00,Misunderstanding Between the Parliament and the State Chancellery,3,
2001-07-25 17:42:00,Political Prisoners Are Supposed to Be Released in Georgia,21,
2001-07-25 17:49:00,Parliamentary Opposition’s Leaders Meet President Shevardnadze on Local Self-Governance Elections,3,
2001-07-26 12:06:00,Aslan Abashidze Wishes to Participate in the Consultations on Local Self-Governance,3,
2001-07-26 12:51:00,The Faction “Traditionalist” Has a Saparate Position,4,
2001-07-26 12:58:00,International Monetary Fund Demands Budget Sequester from the Georgian Government,2,
2001-07-26 13:11:00,"Review of the Government’s Meeting. July 25, 2001",2,
2001-07-26 15:05:00,The Ruling Party Strictly Demands that an Extraordinary Session of the Parliament be held on July 28,3,
2001-07-26 15:47:00,Russia Abrogates the Right of Deported Meskhs,3,
2001-07-26 16:42:00,Policemen Have Beaten an Arrested Person to Death,3,
2001-07-27 11:05:00,A Famous Georgian Journalist Giorgi Sanaia Has Been Murdered,43,
2001-07-27 12:40:00,President Shevardnadze Postpones His Visit to Azerbaijan Because of Murder of Journalist,3,
2001-07-27 13:52:00,Protest on the Murder of Giorgi Sanaia,5,
2001-07-27 15:34:00,"Giorgi Sanaia, a Famous Georgian Journalist, was Found Murdered in His Own Flat",21,
2001-07-27 16:06:00,The Parliament Has Delayed an Extraordinary Session Because of the Murder of Giorgi Sanaia,2,
2001-07-27 18:21:00,Georgian-Russian Negotiations on Military Issues are Continued in Moscow,2,
2001-07-28 13:59:00,FBI to Participate in Investigation of Sanaia’s Murder Case,3,
2001-07-28 18:21:00,Murder of Giorgi Sanaia – What was the Reason and What Will Happen Next,106,
2001-07-30 12:05:00,"Weekly Review of the Parliament’s Plenary Sessions. Extraordinary Session, July 27, 2001",4,
2001-07-30 13:13:00,"“Russian Military Base in Akhalkalaki is Guarantee for Stability”, a Majorette Deputy States",18,
2001-07-30 13:19:00,The Interior Ministry Does not Confirm that it Has Captured a Suspect,2,
2001-07-30 13:27:00,President Shevardnadze Will Not Participate in Unofficial Summit of the CIS,3,
2001-07-30 14:41:00,Weekly Review of the Parliamentary Committees’ Sessions. July 23-27 2001,3,
2001-07-30 16:02:00,Motives of Why Giorgi Sanaia Was to Be  Killed,5,
2001-07-30 16:26:00,Law Enforcers Possess an Information that Should Help Capturing Sanaia’s Killer,1,
2001-07-31 12:13:00,The Police Has Drawn a Possible Picture of Suspected in Giorgi Sanaia’s Murder,1,
2001-07-31 17:55:00,What Made Shevardnadze Delay His Visit to Baku,8,
2001-08-01 10:29:00,NGOs Reengage in Election Code Issues,2,
2001-08-01 10:36:00,New Bill on Local Self-Governance,2,
2001-08-01 12:38:00,FBI Agent Joins Investigation of Sanaia’s Murder Case,2,
2001-08-01 12:39:00,150 Million Laris Sequester of the State Budget of 2001 is Expected,4,
2001-08-01 14:30:00,Investigating the Murder Case of Giorgi Sanaia is in the Government’s Advantage,3,
2001-08-01 16:12:00,"Weekly Review of Ministries’ Activities. July 21-28, 2001",4,
2001-08-01 17:01:00,"Russian Military Forces Are Remaining in Abkazia, Georgia for Unknown Term",8,
2001-08-02 14:51:00,The FBI Representatives will Get Acquainted to the Materials,3,
2001-08-02 16:35:00,Ministry of Finances to Sequester the Budget on the National Bank’s Expense,2,
2001-08-02 16:51:00,The Parliamentary Majority is not Going to Follow the Opposition’s Tricks Any More,5,
2001-08-02 18:25:00,Reformers’ Wing of,2,
2001-08-03 14:37:00,Georgia’s Budget Corrected With 225 Million GEL,2,
2001-08-03 16:54:00,Parliamentarians are Upset with Unconstitutional Actions of the Supreme Court,1,
2001-08-03 17:11:00,It Has Been Eight Months Since Two Spanish Businessmen Were Kidnapped in Georgia,3,
2001-08-03 17:40:00,The Opposition Complained to Diplomats on Violation of their Rights in the Parliament,1,
2001-08-03 18:28:00,Laboratory Examination of the Biomaterials Taken from Giorgi Sanaia’s Murder Place is Being Procrastinated,1,
2001-08-04 16:06:00,Opposition Made an Ultimatum to the President,1,
2001-08-04 16:08:00,Deputy Minister of Justice Is Suspected in Disobedience towards the Police,2,
2001-08-06 14:25:00,President Will Not Veto Law on Local Self-Governance,1,
2001-08-06 15:04:00,Opposition Asks the President to Use the Right to Veto,2,
2001-08-06 17:13:00,Expertise of Biomaterials Related to Giorgi Sanaia will be Done In the USA,2,
2001-08-06 18:17:00,"Weekly Review of Ministries’ Activities. July 28 – August 4, 2001",0,
2001-08-06 18:22:00,"Weekly Review of the Parliament’s Plenary Sessions. Extraordinary Session, August 01-02, 2001",1,
2001-08-06 18:39:00,A Suit Demanding that the Law on Local Self-Governance and the Electoral Law be Announced Non-Constitutional was Filed in the Constitutional Court,1,
2001-08-07 12:39:00,Property Declaration of the President of Georgia,6,
2001-08-07 13:53:00,Head of the Supreme Court Accuses Members of Parliament of Using Pressure Against the Trial,2,
2001-08-07 15:29:00,Deputies and Judges Accuse Each Other of Abrogation,1,
2001-08-07 15:33:00,"President’s Briefing. Monday, August 6, 2001",1,
2001-08-07 17:34:00,Russia Has Initiated Constructing a Gas Pipeline in the Black Sea,1,
2001-08-08 14:46:00,Saakashvili Against Corrupted Ministers,2,
2001-08-08 16:31:00,Politicians Talk About Possible Destabilization in Georgia,3,
2001-08-08 19:10:00,Budget of July Has Been Completed Formally Only,4,
2001-08-09 13:47:00,Actual Names of Those Who Seizes State Property Were Announced,2,
2001-08-09 16:21:00,The New Draft-Law Will be For 500 State Officials Only,2,
2001-08-09 16:23:00,Georgian Government does not Take Recommendations of Leszek Balcerowcz into Consideration,1,
2001-08-10 14:06:00,President Shevardnadze’s Advisor Leszek Balcerowicz Arrives Today to Georgia,14,
2001-08-10 15:45:00,"Review of the Government’s Meeting. August 8, 2001",4,
2001-08-10 16:39:00,Where Are the Kidnapped Spanish Businessmen?,3,
2001-08-13 16:41:00,Shevardnadze Supports Bill on Return of Illegal Porperty to the State,1,
2001-08-13 16:42:00,Presitent’s Interview Not present yet,1,
2001-08-30 11:45:00,Russian Military Division Moves Illegally on the Georgian Territory,2,
2001-08-30 15:47:00,"President’s Briefing. Monday, August 27, 2001",0,
2001-08-30 17:34:00,What Are Boeviks in the Kodori Gorge About to Do?,3,
2001-08-31 10:42:00,Cabinet of the Ministers – Necessary Escape or Just Another Bluff?,2,
2001-08-31 15:53:00,Head of the Parliament has Faith in the President,0,
2001-08-31 16:18:00,Functioning of Baku-Tbilisi-Ceyhan Pipeline Becomes Reality,2,
2001-08-31 16:51:00,Georgia Demands Explanation for Deliberate Maneuverings of Russian Troops in Adjaria,0,
2001-08-31 17:30:00,"Government’s Meeting. Wednesday, August 29, 2001",0,
2001-09-01 14:40:00,Mikheil Saakashvili Launches Popularization Campaign for the Law on Illegal Property,3,
2001-09-03 15:41:00,Governmental Crisis Continues,2,
2001-09-03 16:31:00,"Weekly Review of the Parliamentary Committees’ Sessions. August 27 – September 2, 2001",0,
2001-09-04 16:58:00,Let’s Save Georgia from Corruption!,0,
2001-09-04 16:59:00,Versions Concerning the Assault on Davit Shengelia’s Family,0,
2001-09-05 10:26:00,Mikheil Saakashviil Called Governments’ Meeting an “Empty Talk”,8,
2001-09-05 19:09:00,"Justice Minister Calls for Jury, Independent Prosecutors to Try Corruption Cases",1,
2001-09-05 19:38:00,Levan Berdzenishvili About Positive and Negative Sides of Georgian NGOs,52,
2001-09-06 13:09:00,The CoE Evaluates Implementation of Georgia’s Commitments,0,
2001-09-06 14:07:00,August Revenues Way Off-Target,1,
2001-09-06 14:54:00,Leader of the Traditionalists Withdraws from the United Opposition,2,
2001-09-06 18:38:00,The Parliamentary Committee Supports Levan Dzneladze for Revenue Minister,6,
2001-09-06 18:52:00,The President will Probably Dismiss the Executive Government,1,
2001-09-07 13:29:00,A New Political Movement “Unity” Formed,5,
2001-09-07 14:34:00,Georgian Army Threatened by Low Funding,2,
2001-09-07 15:59:00,"Zhvania Claims Readiness to Resign, Doubts Opposition Unity",1,
2001-09-07 17:16:00,Parliament’s Weekly Review. August 27 – September 2 2001,0,
2001-09-08 17:09:00,The Parliamentary Chairman Tests the Parliamentary Majority,2,
2001-09-10 14:51:00,Parliament Faces Modifications In Autumn,1,
2001-09-11 13:12:00,Employees Accuse the State Security Minister of Abrogation,1,
2001-09-11 13:27:00,Opposition Threaten With Noncompliance,1,
2001-09-11 16:07:00,Deputy Minister of Justice Applies for Resignation,3,
2001-09-11 16:34:00,The Ministries have Illegally Appropriated 10 Million GEL,1,
2001-09-11 18:01:00,Koba Davitashvili Leaves Citizens’ Union,0,
2001-09-11 18:34:00,Minister Accused in Corruption Sues Levan Berdzenishvili,3,
2001-09-12 10:22:00,"Ministries Weekly Review. September 1-8, 2001",4,
2001-09-12 11:12:00,"Parliament Buraeu Session. September 4, 2001",1,
2001-09-12 11:30:00,President of the Parliamentary Assembly of the CoE Visits Tbilisi,1,
2001-09-12 18:02:00,Georgian Government’s Schedule Changes by American Tragedy,4,
2001-09-13 10:32:00,"Parliament Weekly Review. September 3-10, 2001",2,Parliament Weekly
2001-09-13 10:43:00,Weekly Review of the Parliamentary Committees. September 03-09 2001,1,
2001-09-13 11:12:00,Citizens’ Union Is Losing Its MPs,1,
2001-09-13 11:44:00,The Opposition Is not Concerned About the Parliamentary Crisis,1,
2001-09-13 13:57:00,Georgian Press Supports the American People,2,
2001-09-13 14:55:00,"President’s Briefing. Monday, September 10, 2001",3,
2001-09-14 13:53:00,Deputy Justice Minister Stays in Office,2,
2001-09-14 14:23:00,Tbilisi Is Against Russia’s Military Involvement in Pankisi,3,
2001-09-14 14:51:00,The Opposition Will Not Be Able to Make Zurab Zhvania Leave the Office,2,
2001-09-14 15:45:00,U.S. more sympathetic to Russia’s Anti-Terrorist Drive,0,
2001-09-14 17:23:00,Interior Ministry Denies Chechen Guerrillas are in West Georgia,1,
2001-09-14 17:26:00,United Opposition Collapses,2,
2001-09-15 14:37:00,Ransom Paid for Kidnapped Spanish Businessmen,5,
2001-09-15 22:28:00,Shevardnadze May Resign from CUG Chairmanship,2,
2001-09-16 12:51:00,Georgia Does Not Protect Terrorism,2,
2001-09-16 13:55:00,Radio Interview with Justice Minister Mikheil Saakashvili,2,
2001-09-16 14:37:00,Empty place,1,
2001-09-17 12:51:00,President Resigns from CUG Chairmanship,1,
2001-09-17 15:08:00,Myth About Overcoming Governmental Crisis,2,
2001-09-17 15:27:00,Zhvania Criticizes President’s Decision,0,
2001-09-17 16:43:00,"Parliament Weekly Review. September 10-16, 2001.",4,Parliament Weekly
2001-09-17 17:04:00,Georgian Government Should State Its Position Firmly,2,
2001-09-17 18:56:00,"Weekly Review of the Parliament’s Plenary Sessions. September 11-14, 2001.",2,
2001-09-17 22:04:00,Zhvania won’t run for Prime-Minister,0,
2001-09-17 22:23:00,Moscow Apartment Bombers Hide In Georgia – Russian Interior Ministry Says,1,
2001-09-18 15:33:00,Russia Mounts Pressure on Georgia,2,
2001-09-18 15:46:00,Georgia Is Ready to Let the USA Use Its Military Bases,1,
2001-09-18 17:10:00,Governor of Imereti Accuses Saakashvili of Lobbying the AES,2,
2001-09-18 17:18:00,“Socialists” Employ New Method to Impeach Zhvania,3,
2001-09-18 17:24:00,"Ministries Weekly Review. September 8 – 15, 2001",3,
2001-09-18 18:39:00,There Will Be No Firm Majority in the Parliament Any More,3,
2001-09-18 19:19:00,Russia Demands Extradition of Terrorists from Georgia,2,
2001-09-19 12:14:00,The Government Meeting is Postponed Again,5,
2001-09-19 15:00:00,Parliamentary Crisis Is in Its Zenith,4,
2001-09-19 17:38:00,Human Rights Committee Chairman to Report on Police Incompetence,1,
2001-09-19 18:58:00,“Traditionalists” Support Zhvania,1,
2001-09-19 19:47:00,Justice Minister Mikheil Saakashvili Resigns,26,
2001-09-20 10:35:00,Saakashvili Runs for MP,1,
2001-09-20 18:50:00,Shevardnadze had to Accept Saakashvili’s Resignation,0,
2001-09-20 19:29:00,Reformers Dissociate from Shevardnadze,3,
2001-09-20 19:31:00,Saakashvili Dissociates From Shevardnadze’s Corrupted Government,3,
2001-09-20 19:32:00,Russia Tries to Qualify Georgia as a Terrorist Country,4,
2001-09-20 20:18:00,Expropriation and Return of Improperly Acquired Property to the State – Bolshevism or Democracy?,4,
2001-09-21 10:39:00,U.S. Warplanes in CIS,0,
2001-09-21 11:11:00,Parliamentary Majority’s Future Ambiguous,12,
2001-09-21 14:23:00,There is no Danger of Bombing Georgia – MFA States,1,
2001-09-21 14:25:00,Russia Wants to Induce Georgia in Caucasian War,3,
2001-09-21 16:11:00,Airplane of the Defense Ministry Crashes,0,
2001-09-21 18:40:00,Bin Laden May Be in Chechnya – Pakistani Newspaper Reports,5,
2001-09-22 14:19:00,Japanese Photo Reporter May Have Disappeared Near Chechnya,2,
2001-09-22 18:35:00,"Unlike Other Government Members, President Favoured Budget Project for 2002",0,
2001-09-22 21:32:00,President Says Justice Council a Failure,1,
2001-09-24 12:51:00,President Proposed Former MIA Employee for the Justice Minister Vacancy,1,
2001-09-24 13:34:00,Grants for NGOs Must Be Controlled – the President Demands,0,
2001-09-24 16:49:00,Negative Proceedings Have Become More Common in Georgia,0,
2001-09-25 12:53:00,"Weekly Review of the Parliamentary Committees. September 17-23, 2001",0,
2001-09-25 12:57:00,"Parliament Weekly Review. September 17-23, 2001",0,Parliament Weekly
2001-09-25 14:22:00,“Mr. Shevardnadze Prefers Corrupted to Reformers”,1,
2001-09-25 14:27:00,"Government meeting. Saturday, September 22, 2001",1,
2001-09-25 14:50:00,"Government meeting. Saturday, September 22, 2001",0,
2001-09-25 15:18:00,The Parliamentary “Confidence Group” and the Power Ministers Discuss Security Issues,1,
2001-09-25 15:46:00,"Ministries Weekly Review. September 15-22, 2001",3,
2001-09-25 16:13:00,MP Davitashvili Demands NATO Forces to be Deployed in Georgia,3,
2001-09-25 16:47:00,Tbilisi Does Not Even Try to Settle Relations With Moscow,0,
2001-09-25 18:57:00,No Chechen Guerrillas Participated in the Fighting,1,
2001-09-25 19:33:00,Georgia on the Edge of War – the MP States,2,
2001-09-25 20:09:00,WAR? – Russian Media Stunt Stirrs Confusion,0,
2001-09-25 21:41:00,Russia Slams Georgia at PACE,0,
2001-09-26 11:20:00,Shevardnadze Turns Back on Reform,0,
2001-09-26 14:08:00,Killed Chechens Are Being Buried in Pankisi,1,
2001-09-26 14:18:00,President is Ready to Cooperate with Russia,1,
2001-09-26 16:46:00,Danger of War Poses Threat to Georgia,0,
2001-09-26 16:49:00,The Parliament will Debate the Problem of Abkhazia Tomorrow,1,
2001-09-26 16:52:00,Georgia Yields to Russian Pressure,6,
2001-09-26 17:47:00,MPs and Saakashvili Accuse MIA in Aggravating Situation in Abkhazia,0,
2001-09-27 10:29:00,Georgian High Officials Visit Moscow,0,
2001-09-27 12:52:00,"Parliament’s Bureau Session. September 24, 2001",1,
2001-09-27 13:04:00,"President’s Briefing. Monday, September 24.",2,
2001-09-27 13:50:00,"Government Meeting. Wednesday, September 26, 2001",0,
2001-09-27 14:59:00,“Russia will Bomb Pankisi Gorge” – Vladimer Zhirinovski,2,
2001-09-27 16:20:00,Power Ministers are to Inform MPs About the Situation in Abkhazia,0,
2001-09-27 17:07:00,"Armed Clash is not Expected in Abkhazia, Dither Boden States",0,
2001-09-27 17:13:00,Mikheil Saakashvili Blames the MIA in Cooperating with Russia,0,
2001-09-27 18:29:00,Georgia not Under Threat From Russia,0,
2001-09-27 19:06:00,Parliamentary Majority Members Form the New Faction,2,
2001-09-27 20:33:00,Georgia to Extradite 13 Chechen Guerrillas,0,
2001-09-28 11:09:00,Putin’s Spokesperson Disavows Ultimatum,1,
2001-09-28 11:30:00,Shevardnadze Meets Abkhazian Authority,0,
2001-09-28 15:44:00,Abkhazian Authority Denies Presence of Chechen Guerrillas in Abkhazia,0,
2001-09-28 15:44:00,Terrorism and the Caucasus. Russia into Georgia?,9,
2001-09-29 11:48:00,The Parliamentary Majority Collapses,1,
2001-09-29 12:22:00,NGOs will not Complete the Central Electoral Commission,0,
2001-09-29 13:00:00,Shevardnadze Sings an Agreement on Gas Tariffs with Azerbaijan,2,
2001-09-29 13:30:00,Georgian Power Ministers Back Russia’s Provocation,0,
2001-09-29 16:25:00,MIF of Georgia Excludes The Possibility of Joint Military Actions in Pankisi with Russia,4,
2001-09-29 17:17:00,We Are in Opposition,1,
2001-10-01 12:17:00,US will not Push Russia for Withdrawal Military Bases from Georgia,0,
2001-10-01 13:29:00,The Parliamentary Majority Falls into Several Factions,2,
2001-10-01 16:10:00,Georgia Never Makes Problem Conclusions,0,
2001-10-01 17:33:00,US Requested Georgia to Use Its Airspace,0,
2001-10-01 18:48:00,Citizens’ Union is Breaking Up,8,
2001-10-01 19:35:00,"Weekly Review of the Parliament’s Plenary Sessions. September 25-28, 2001",1,
2001-10-01 20:04:00,Zhvania Tries to Maintain Parliamentary Majority,1,
2001-10-01 20:09:00,Russia Rejects Sevardnadze’s Proposal to Mediate in Chechnya,0,
2001-10-02 11:00:00,Faction “Alliance For New Georgia” is Formed in the Parliament,2,
2001-10-02 11:01:00,President Shevardnadze Visits the USA,3,
2001-10-02 14:40:00,Danger of Terrorism in Georgia,2,
2001-10-02 15:53:00,Zurab Zhvania will Control the Parliamentary Majority,0,
2001-10-02 16:17:00,"Ministries Weekly review. September 22-29, 2001.",3,
2001-10-02 17:33:00,Budget in September is not Fulfilled,0,
2001-10-02 20:56:00,Reformers will not Form New Faction Yet,1,
2001-10-03 13:04:00,The Government is Feeble to Avoid Russian Aggression,0,
2001-10-03 15:04:00,A New Power Balance in the Parliament,1,
2001-10-03 16:29:00,Two More MPs Left the CUG,1,
2001-10-03 16:58:00,New Opposition Alliance is Formed in the Parliament,2,
2001-10-03 19:32:00,Parliament Is to Discuss the Issue of Selection of Central Election Commission,0,
2001-10-04 10:36:00,The Self-Governance Election is Postponed for a Year,0,
2001-10-04 12:58:00,Spanish Police Observe the Investigation of Two Spaniards Kidnapping Case,0,
2001-10-04 13:14:00,Local Self-Governance Elections Was Delayed Nearly Unanimously,0,
2001-10-04 14:36:00,Another Armed Clash in Abkhazia,0,
2001-10-04 15:32:00,SINGING TO AN OLD TUNE,2,
2001-10-04 18:19:00,"Parliament Bureau Session. October 4th, 2001",0,
2001-10-04 19:15:00,Georgia Denies Information About Armed Clash Between Abkhaz and Georgian Militants,1,
2001-10-04 20:38:00,One More New Faction in the Parliament,1,
2001-10-05 13:07:00,Georgia Faces a Bloody Provocation Again,2,
2001-10-05 14:55:00,New Wide Scale Provocation Against Georgia,0,
2001-10-05 15:33:00,Police Tries to Free Kidnapped Persons From Pankisi Gorge,7,
2001-10-05 17:56:00,The Parliamentary Majority Practically Does Not Exist,1,
2001-10-05 19:25:00,Russia Urges Tbilisi to Eradicate Actions of the Terrorist Groups in Abkhazia,1,
2001-10-05 19:31:00,One Hostage in Pankisi Gorge Released,1,
2001-10-05 20:28:00,IMF and World Bank Called President Shevardnadze to Eradicate Corruption,2,
2001-10-06 14:36:00,Hostage Drama Continues in Pankisi Gorge,6,
2001-10-06 15:45:00,Georgia Extradited 13 North Caucasian Guerrillas to Russia,1,
2001-10-06 17:26:00,"Weekly Review of the Parliamentary Committees. October 1-7, 2001",1,
2001-10-06 17:45:00,Relatives of Abducted Spaniards Plan to Make a Deal With the Kidnappers,1,
2001-10-06 18:39:00,Abkhazians Make an Ultimatum to the Guerrillas in Kodori Gorge,1,
2001-10-06 19:20:00,"Parliament Weekly Review. October 1-7, 2001",5,Parliament Weekly
2001-10-06 21:05:00,Russia’s Propaganda Machine Works Ambitiously,1,
2001-10-07 17:54:00,Abkhazian de facto Authorities Report Continued Clashes,1,
2001-10-07 18:33:00,A Criminal Threatens Government With War,3,
2001-10-08 12:49:00,UN Helicopter Grounded in Abkhazia,1,
2001-10-08 13:30:00,Georgian-Abkhazian Negotiations Are Postponed,1,
2001-10-08 13:42:00,Abkhazian Side and Russian Side Are the Same,1,
2001-10-08 14:46:00,UN Mission Confirms Grounding of a Helicopter,1,
2001-10-08 15:56:00,Georgia is to Fulfill Four Obligations of the IMF,1,
2001-10-08 17:46:00,Two German and One Pakistani Citizen Were Aboard Downed Helicopter,1,
2001-10-08 19:30:00,Parliamentary Majority Dissolves,1,
2001-10-08 19:58:00,"Ministries Weekly Review. September 29 – October 6, 2001",1,
2001-10-08 20:56:00,Russia Accuses Georgia In Tolerance Towards Terrorists,2,
2001-10-09 11:02:00,UN Secretary-General Comments Downing of Helicopter in Abkhazia,6,
2001-10-09 11:37:00,Georgian Villages Bombed in Abkhazia,1,
2001-10-09 12:26:00,Fighting Near the Abkhazian Capital,1,
2001-10-09 12:48:00,Georgian Guerrillas Accuse Russia of Bombing Georgian Villages,2,
2001-10-09 12:56:00,Russian Federation Is Interested in Provoking War in Abkhazia,2,
2001-10-09 14:05:00,Representatives of Defense Ministry of Georgia Observe the Bombed Villages,1,
2001-10-09 15:12:00,The Parliamentary Majority Exists no More,1,
2001-10-09 15:13:00,MPs to Meet The President Regarding Situation in Abkhazia,1,
2001-10-09 15:40:00,Russia Assists Abkhazia to Bomb Kodori Gorge – Defense Ministry of Georgia States,1,
2001-10-09 16:32:00,"President’s Briefing. Monday, October 8, 2001.",1,
2001-10-09 18:30:00,Georgia Can not Eradicate Terrorism – Russian Defense Minister States,1,
2001-10-09 18:53:00,Both Sides Are Responsibe for Downing Helicopter – UN Security Council Announces,2,
2001-10-09 20:19:00,What’s Happening in Abkhazia (4-6 October),1,
2001-10-09 20:21:00,Another Armed Clash in Abkhazia – 14:55 04.10,1,
