date-time,headline,views,tags,
04/06/2022 - 19:17,"GID Co-Chairs Visit Sokhumi, Tskhinvali",208,"Abkhazia,Geneva International Discussions,Georgian Government,Russian Occupation,Tskhinvali Region/South Ossetia",
06/06/2022 - 11:21,"Lelo, Girchi More Freedom Join ALDE",130,"EUbid,Girchi - More Freedom,Lelo for Georgia",
06/06/2022 - 11:57,"ALDE Backs EU Candidacies for Georgia, Ukraine, Moldova",184,"ALDE,EUbid,Georgian Government",
06/06/2022 - 12:55,Liberal MP Allegedly Attacked Near Parliament,253,"Khatuna Samnidze,Opposition,Republican Party",
06/06/2022 - 13:58,Alt-Right Party Fined Over Undeclared Funds,174,"Alt-info,Conservative Movement,Far-right,July 5 Violence,State Audit Office",
06/06/2022 - 15:45,"Controversy as Russian Anchor Claims Gagloev Serves Georgian, U.S. Interests",248,"Alan Gagloev,Anatoly Bibilov,Georgia,Russian Occupation,Tskhinvali Region/South Ossetia",
06/06/2022 - 16:29,Rosneft Quits Major Petroleum Firm Operating in Georgia,447,"Gulf Georgia,Russia,Russia sanctions",
06/06/2022 - 20:20,Borjomi Strike: Mediation Relaunched as Gov’t Expects Co-Ownership,139,"Borjomi,Georgian Government,Russia sanctions",
06/06/2022 - 20:21,Ukraine War: Four S. Ossetian Fighters Buried Over the Week,271,"Alan Gagloev,Donbas,Georgia,Russian Occupation,Tskhinvali Region/South Ossetia,War in Ukraine",
06/06/2022 - 22:05,President Suspects Pro-Russian Activities Orchestrated Against EU Bid,322,"Far-right,Georgia,Georgian Dream,President of Georgia,Salome Zurabishvili",
06/06/2022 - 21:23,Georgian Govt Sues President Over Ambassadorial Appointments,378,"Georgia,Georgian Dream,Georgian President",
24/05/2022 - 20:40,Kremlin Finds Fault With Tskhinvali Referendum Question,314,"Alan Gagloev,Anatoly Bibilov,Georgia,Russia,Russian Occupation,Tskhinvali Region/South Ossetia",
24/05/2022 - 23:57,In Photos: Georgians Supporting  Ukraine,185,"Georgia,Ukraine",
25/05/2022 - 15:21,"Tskhinvali Can Always Count on Moscow, Russian Official Says",163,"Alan Gagloev,Dmitry Volvach,Russia,Russian Occupation,Tskhinvali Region/South Ossetia",
25/05/2022 - 18:01,"Davos Panel: Georgia PM, Austria FM Talk EU Enlargement",156,"Alar Karis,Alexander Schallenberg,EUbid,Georgia",
25/05/2022 - 20:29,Russia’s Federation Council Approves Tskhinvali Dual Citizenship Deal,230,"Russian Federation,Russian Occupation,Tskhinvali Region/South Ossetia",
25/05/2022 - 13:17,PM Garibashvili Attends World Economic Forum in Davos,148,"Davos,EU-Georgia relations,Georgian Government,Prime Minister Irakli Garibashvili,World Economic Forum",
26/05/2022 - 16:45,In Photos: Independence Day Celebration in Tbilisi,377,"Democratic Republic of Georgia,May 26",
25/05/2022 - 23:06,"40 More Dismissed from Museum System, Labor Union Says",407,"Culture Ministry,Georgian National Museum,Tea Tsulukiani",
26/05/2022 - 01:07,Opposition Asks EU to Grant Georgia Candidate Status,188,"EUbid,Opposition,Parliament",
26/05/2022 - 14:09,"On Independence Day, Georgia Eyes ‘Return to Europe’",423,"Democratic Republic of Georgia,Georgia,Irakli Garibashvili,Salome Zurabishvili",
27/05/2022 - 12:25,"Explainer: GD, UNM Make Rare Deal to Resolve Local Council Deadlocks",239,"Georgian Dream,Opposition,Parliament of Georgia,Sakrebulo,United National Movement",
26/05/2022 - 18:44,Foreign Leaders Congratulate Georgia on Independence Day,253,"Democratic Republic of Georgia,Salome Zurabishvili",
26/05/2022 - 17:00,Full Text: President Zurabishvili’s Independence Day Speech,130,"Democratic Republic of Georgia,EUbid,Independence Day,Salome Zurabishvili",
17/05/2022 - 11:47,Georgia Participates in U.S.-led Trojan Footprint 2022 Drills,234,"Georgia,Special Operations Forces,Trojan Footprint 2022",
17/05/2022 - 12:03,Another Georgian Fighter Killed in Ukraine,184,"Georgia,Ukraine,War in Ukraine",
17/05/2022 - 14:36,"Study Shows Homophobic Views Still High, But Declining in Georgia",342,"Georgia,Homophobia,IDAHO,LGBT Rights",
17/05/2022 - 14:12,"GD Chief Lumps UNM, CSOs, Gvaramia as ‘Anti-EU’",206,"Irakli Kobakhidze,Nika Gvaramia",
17/05/2022 - 17:45,"Critical TV Boss Sentencing Unlawful, Watchdog Says",125,"Georgian Government,Judiciary,Mtavari Arkhi TV,Nika Gvaramia,Rustavi 2",
17/05/2022 - 19:15,Georgian PM Meets EU Leaders in Brussels,177,"Brussels,Charles Michel,EUbid,European Council,European Parliament,European Union (EU),Roberta Metsola",
17/05/2022 - 19:35,MEPs Say ‘Ungrounded’ TV Boss Verdict Seriously Endangers Georgia’s European Future,357,"European Parliament,Georgian Dream,Nika Gvaramia",
17/05/2022 - 20:36,Weekly COVID Update: May 9 — 15,120,"Covid-19,National Center for Disease Control and Public Health",
17/05/2022 - 22:23,"Amnesty Int’l, HRW Decry Critical TV Chief’s Imprisonment",167,"Amnesty International,Human Rights Watch,Nika Gvarmia",
17/05/2022 - 23:45,Georgian Dream Lawmaker Says Swedish Ex-PM ‘Criminal’,459,"Carl Bildt,Georgian Dream,Irakli Zarkua,Nika Gvaramia",
18/05/2022 - 13:31,"Police Detain, Allegedly Beat Activist Leader",190,"Georgian Government,Police,Shame Movement",
18/05/2022 - 03:45,LGBT Groups Pensive About IDAHO as Church Marks Family Purity Day,245,"Georgia,Georgian Orthodox Church,Ilia II,LGBT Rights",
18/05/2022 - 13:58,"Update: NATO Chief to Host Georgia PM, After Reported Cancelation",271,"Irakli Garibashvili,Jens Stolstenberg,NATO-Georgia relations",
18/05/2022 - 14:38,Kremlin Comments on S. Ossetian Annexation Referendum,232,"Dmitry Peskov,Georgia,Kremlin,Tskhinvali Region/South Ossetia",
03/05/2022 - 17:05,Czech Senate President Visits Georgia,178,"Czech Republic,Miloš Vystrčil",
03/05/2022 - 18:04,Court Finds Five Guilty of Islamic State Membership,279,"Islamic State,Pankisi,State Security Service,Terrorism",
04/05/2022 - 20:42,COVID Georgia Live Blog: Wrapped Up After Two Years,281060,"Abkhazia,Coronavirus,Covid-19,Georgia,Omicron,pandemic,მთავარი",
04/05/2022 - 13:37,Armenian Security Council Secretary Visits Tbilisi,196,"Armen Grigoryan,Armenia,Irakli Garibashvili,Vakhtang Gomelauri",
04/05/2022 - 16:32,State Audit Finds Possible Local Gov’t Corruption in Kutaisi,140,"Georgian Government,Kutaisi,State Audit Office",
04/05/2022 - 19:36,Court Rules 2019 Dismissal of Rustavi 2 TV Employees Unlawful,148,"Kibar Khalvashi,Nanuka Zhorzholiani,Nika Gvaramia,Nodar Meladze,Paata Salia,Rustavi 2,Tbilisi City Court",
05/05/2022 - 11:43,"Ukraine’s Presidential Advisor, Georgian Officials Trade Accusations",304,"Russia sanctions,Ukraine,Ukraine-Georgia relations",
05/05/2022 - 13:13,Armenian Defense Minister Visits Tbilisi,152,"Armenia,defense ministry,Irakli Garibashvili,Juansher Burchuladze,Suren Papikyan",
05/05/2022 - 17:38,Top Virologist Mulls Quitting as Minister Alleges COVID Fund Misuse,151,"Covid-19,Government of Georgia,Ministry of Health,pandemic",
05/05/2022 - 14:08,CoE Committee of Ministers Decision on Conflict in Georgia,188,"Abkhazia,Council of Europe,Russian Occupation,Tskhinvali Region/South Ossetia",
05/05/2022 - 19:01,Russian-Owned Borjomi Sacks 49 Workers Amid Sanctions Fallout,313,"Borjomi,Irakli Garibashvili,Labor rights,Russia sanctions",
24/04/2022 - 08:04,"Patriarch Condemns Russia’s War, Atrocities in Ukraine",321,"Georgia,Georgian Orthodox Church,Ilia II,Russia",
24/04/2022 - 08:56,Tskhinvali Court Rejects Runoff Date,308,"Georgia,Russian Occupation,Tskhinvali Region/South Ossetia",
25/04/2022 - 22:28,Georgian Citizen Released from Occupied Tskhinvali,180,"Georgia,Russian Occupation,Tskhinvali Region/South Ossetia",
25/04/2022 - 23:12,S. Ossetian Runoffs Rescheduled to May 8,279,"Georgia,Russian Occupation,Tskhinvali Region/South Ossetia",
26/04/2022 - 10:19,President Zelenskyy on Relations with Georgian Government,474,"Georgia,Georgian Dream,Ukraine,Volodymyr Zelenskyy",
26/04/2022 - 11:41,"Russian Diplomat on Abkhazia, S. Ossetia, Geneva Talks",457,"Abkhazia,Denis Gonchar,Geneva International Discussions,IPRM,Russia,Russian Occupation,Tskhinvali Region/South Ossetia",
26/04/2022 - 13:56,"Tapes Suggest Business Dealings Between Ivanishvili, Sanctioned Russian Tycoon",893,"Bidzina Ivanishvili,Georgian Dream,Russia sanctions,War in Ukraine",
26/04/2022 - 17:39,ODIHR’s Final Report on October 2021 Local Elections,155,"Elections,Georgia,Gvote21,OSCE/ODIHR",
26/04/2022 - 17:57,Conflicting Reports on Russian Tycoon Meeting Georgian PM,422,"Bidzina Ivanishvili,David Khidasheli,Irakli Garibashvili",
26/04/2022 - 21:48,"Alt-Right, Pro-Russia Party Chair Talks Resignation",665,"Alt-right,Conservative Movement,Far-right,Georgia,Russia,Zurab Makharadze",
27/04/2022 - 11:49,Georgian FM Meets Azerbaijan’s Aliyev,193,"Azerbaijan,Foreign Ministry,Georgia,Ilham Aliyev,Ilia Darchiashvili",
27/04/2022 - 14:13,Controversial Surveillance Law Clears First Hurdle,208,"meta,Parliament of Georgia,surveillance,Wiretapping",
27/04/2022 - 16:03,Report Details Ivanishvili’s Purported Business Links to Russia,558,"Bidzina Ivanishvili,Georgian Dream,meta,Russia,Transparency International Georgia",
13/04/2022 - 09:51,U.S. Report Critical on Human Rights Practices in Georgia,401,"Abkhazia,Georgia,Human Rights,Irakli Garibashvili,meta,State Security Service,Tskhinvali Region/South Ossetia,U.S. State Department",
13/04/2022 - 11:58,Georgia’s Foreign Trade Up 38% in January-March,129,"Economy,Foreign Trade,Geostat,National Statistics Office",
13/04/2022 - 14:00,Parliament Speaker Makes U-Turn on Rejected Ukraine Trip,188,"Irakli Kobakhidze,Ruslan Stefanchuk,Shalva Papuashvili,Ukraine-Georgian Relations",
13/04/2022 - 15:54,Parliament Confirms Two for Public TV Board,108,"Georgian Public Broadcaster,Lasha Tugushi,Parliament of Georgia,Vasil Maglaperidze",
13/04/2022 - 14:49,Parliament Elects Girchi MP Iago Khvichia to Prosecutorial Council,117,"Parliament,Prosecutorial Council",
13/04/2022 - 17:45,Key MEPs Reject S. Ossetia Polls,197,"European Parliament,Marina Kaljurand,Sven Mikser,Tskhinvali Region/South Ossetia",
13/04/2022 - 18:59,"Georgian, Ukrainian Legislature Speakers Hold Video Call",162,"Ruslan Stefanchuk,Shalva Papuashvili,Ukraine-Georgia relations",
14/04/2022 - 13:59,Georgian FM Visits Czech Republic,152,"Czech Republic,EU-Georgia relations,Ilia Darchiashvili,Mikuláš Bek",
14/04/2022 - 11:53,One Arrested in Gori Over Misappropriation for Betting,98,"Gori,State Audit Office,State Security Service",
14/04/2022 - 14:41,Tskhinvali Runoff Race Slated for April 28,203,"Alan Gagloev,Anatoly Bibilov,Tskhinvali Region/South Ossetia",
14/04/2022 - 16:54,GD Adopts Key Legal Changes to Sue President,147,"Georgian Dream,Parliament,President,Salome Zurabishvili",
06/04/2022 - 21:06,Explainer: Elections in Tskhinvali,822,"Anatoly Bibilov,Georgia,meta,Russian Occupation,Tskhinvali Region/South Ossetia",
14/04/2022 - 19:29,"GD, Opposition Agree on Joint Ukraine Trip, UNM Rejects",257,"Georgian Dream,Khatia Dekanoidze,Shalva Papuashvili,United National Movement",
15/04/2022 - 11:19,Opposition Appeals EU Commissioner Over Questionnaire,165,"EUbid,European Union,Georgia",
15/04/2022 - 12:20,"FM Darchiashvili Meets Czech Counterpart, Speaker",99,"Czech Republic,Foreign Ministry,Ilia Darchiashvili,Jan Lipavský,Markéta Pekarová Adamová",
06/04/2022 - 19:05,Tbilisi Says Citizen Detained Near Tskhinvali Occupation Line,143,"Georgia,Russian Occupation,State Security Service,Tskhinvali Region/South Ossetia,საქართველო",
06/04/2022 - 23:13,Georgia to Imminently Receive EU Membership Questionnaire – Report,590,"Brussels,EUbid,Euripean Commission,European Union,Georgia",
06/04/2022 - 22:34,NATO Chief: Better Support Georgia Sooner Than Later,232,"Georgia,Jens Stoltenberg,NATO,War in Ukraine",
07/04/2022 - 00:11,Kove Returns to Abkhaz Cabinet as ‘Culture Minister’,136,"Abkhazia,Aslan Bzhania,Daur Kove,Russian Occupation",
06/04/2022 - 18:26,Swedish Defense Minister Visits Tbilisi,148,"defense ministry,Juansher Burchuladze,Peter Hultqvist",
15/04/2022 - 13:10,Energy Prices to Hike in Abkhazia,186,"Abkhazia,Russian Occupation",
07/04/2022 - 12:20,Georgia Joins EU Declaration on Russia’s Bucha Atrocities,200,"European Union,Georgia,Georgia-Ukraine relations,Josep Borrell,Ukraine",
07/04/2022 - 15:21,Georgian Medics Volunteer in Ukraine,185,"Georgian Medics,War in Ukraine",
07/04/2022 - 17:07,Georgian FM Attends NATO Ministerial,147,"Ilia Darchiashvili,NATO,NATO-Georgia relations,War in Ukraine",
07/04/2022 - 19:08,NATO Allies Agree to Help Strengthen Georgia’s Resilience,198,"Jens Stoltenberg,NATO Secretary General,NATO-Georgia relations",
07/04/2022 - 21:23,Tskhinvali Registers Group for Russian Annexation Referendum,358,"Georgia,Russia,Russian Occupation,Tskhinvali Region/South Ossetia",
07/04/2022 - 18:34,"Turkish Interior Minister Meets Georgian PM, Counterpart",123,"Interior Ministry,Irakli Garibashvili,Süleyman Soylu,Turkey,Vakhtang Gomelauri",
07/04/2022 - 17:36,U.S. Congressman Talks “Troubling Trends” in Georgia,203,"Congress,Democracy,Georgia,United States",
07/04/2022 - 22:57,Georgia Among Top Desired Destinations for Russian IT Job Seekers,251,"Georgia,Russia,War in Ukraine",
07/04/2022 - 16:54,U.S. House Foreign Committee Adopts Georgia Support Act,180,"Georgia,Georgia Support Act,U.S. Congress,U.S.-Georgia relations",
08/04/2022 - 00:04,Russia Accuses Georgia of Mosquito Invasion,1653,"Georgia,Igor Kirillov,Russia,Russian Defense Ministry,U.S.,War in Ukraine",
31/03/2022 - 12:34,"Ukraine: Russia Brought 2,000 Troops from Abkhazia, Tskhinvali",536,"Abkhazia,Georgia,Russia,Tskhinvali Region/South Ossetia,Ukraine,War in Ukraine",
31/03/2022 - 14:18,Georgia’s President Backs Autocephaly of Ukrainian Church,232,"Georgia,Georgian Orthodox Church,Moscow Patriarchate,Salome Zurabishvili,Ukraine",
31/03/2022 - 13:09,Repeat Votes for Two ‘Parliament Seats’ Set in Abkhazia,110,"Abkhazia,Russian Occupation",
31/03/2022 - 11:51,Fallen Georgian Fighter Repatriated From Ukraine,115,"Davit Gobejishvili,Georgia,Irpin,War in Ukraine",
31/03/2022 - 13:41,Tbilisi Decries Proposed Tskhinvali Referendum to Join Russia,390,"David Zalkaliani,Russian Occupation,Tskhinvali Region/South Ossetia",
31/03/2022 - 16:06,"Rustavi, Batumi Brace For April 2 By-Elections",176,"Batumi,Batumi Sakrebulo,By-elections,Georgia,Georgian Dream,Lelo,Parliament,Rustavi,United National Movement",
31/03/2022 - 15:34,Kazakhstan Seeks Georgia Shipping Route to Bypass Russia,344,"Economy,Georgia,Kazakhstan,Russia,War in Ukraine",
31/03/2022 - 17:24,In Quotes: Political Reactions to Tskhinvali Leader’s Intention on Joining Russia,173,"Georgian Dream,Lelo for Georgia,New Political Center - Girchi,Strategy Aghmashenebeli,United National Movement",
31/03/2022 - 18:45,Kremlin on Possible S. Ossetia Annexation,356,"Georgia,Russia,Russian Occupation,Tskhinvali Region/South Ossetia",
31/03/2022 - 19:38,"Georgian, Kazakh FMs Talk Trans-Caspian Route on Phone",200,"Economy,Georgia,Kazakhstan,Russia,War in Ukraine",
31/03/2022 - 19:52,Russian Cheerleaders of Possible Annexation of Georgia’s Region – List,387,"Georgia,Russia,Russian Occupation,Tskhinvali Region/South Ossetia",
31/03/2022 - 19:08,Danish FM Visits Tbilisi,146,"Denmark,Georgia,President Salome Zurabishvili",
24/03/2022 - 11:14,In Photos | Georgians Attend Grim Homecoming for Fighters Killed in Ukraine,704,"Davit Ratiani,Georgia,Gia Beriashvili,Ukraine",
31/03/2022 - 20:11,Speaker Papuashvili Meets Belgian Counterparts,106,"Belgium,Eliane Tillieux,Georgian Parliament,Shalva Papuashvili,Stephanie D’Hose",
31/03/2022 - 20:12,Mining Blamed for Landslides Crashing Homes in West Georgia,192,"Chiatura,Georgia,Georgian Manganese",
31/03/2022 - 23:43,Georgian Citizen Detained Near Tskhinvali Occupation Line,191,"Georgia,Russian Occupation,State Security Service,Tskhinvali Region/South Ossetia",
31/03/2022 - 23:50,U.S. Reacts to Russia’s Possible Annexation of S. Ossetia,601,"Department of State,Georgia,Ned Price,Russia,Tskhinvali Region/South Ossetia,United States",
23/03/2022 - 17:16,Abkhaz Diplomat Visits Moscow,175,"Abkhazia,Georgia,Inal Ardzinba",
24/03/2022 - 13:50,Top NATO Intelligence Official Meets Georgian PM,150,"Georgia,Irakli Garibashvili,NATO,NATO-Georgia relations",
23/03/2022 - 18:20,Top NATO Intelligence Official Visits Tbilisi,297,"Georgia,NATO,NATO-Georgia relations",
24/03/2022 - 15:04,2008 War: ECHR Throws Out 370 Applications Against Georgia,501,"European Court of Human Rights (ECHR),Georgia,meta,Russian Occupation,Russo-Georgian war",
