date-time,headline,views,tags
2022-07-19 11:59:00,Georgia’s Foreign Trade Up 35.4% in January-June 2022,127,"Economy,Georgia,Trade"
2022-07-19 12:48:00,Georgian PM Visits Uzbekistan,184,"Georgian Government,Irakli Garibashvili,Uzbekistan"
2022-07-22 15:30:00,"PM Meets New Chinese, Turkish Ambassadors to Georgia",151,"China-Georgia Relations,Irakli Garibashvili"
2022-07-19 14:39:00,Weekly COVID Update: July 10-17,136,"Covid-19,National Center for Disease Control and Public Health"
2022-07-19 15:39:00,German Bundestag Vice President Visits Georgia,145,"Bundestag,EUbid,Georgian Government,Parliament of Georgia,Salome Zurabishvili,Shalva Papuashvili"
2022-07-19 17:03:00,Another Russian Blogger Says Denied Entry to Georgia,274,"Georgia,საქართველო"
2022-07-20 11:13:00,Investigation Launched Into MPs Scuffle with TV Boss at U.S. Embassy Event,113,"Anri Okhanashvili,Georgia,Georgian Dream,Press Freedom,TV Pirveli,US Embassy,Vato Tsereteli"
2022-07-20 12:57:00,Georgia in U.S. Human Trafficking Report 2022,137,"Georgia,Government of Georgia,Trafficking,Trafficking in Persons,US State Department"
2022-07-20 13:39:00,"Judiciary Controversy ‘Spun Up,’ says U.S. Ambassador",165,"Georgian Government,Judiciary,US Embassy"
2022-07-20 12:16:00,Tskhinvali Leader Makes Key Appointments,135,"Russian Occupation,Tskhinvali Region/South Ossetia"
2022-07-20 16:36:00,Delegation of MEPs Meets with Georgian President,171,"EUbid,European Parliament,Georgian Government,Salome Zurabishvili"
2022-07-20 16:44:00,Georgian PM Visits Turkmenistan,124,
2022-07-20 17:25:00,GD Chair Slams EU Ambassador As Tenure Ends,319,"Carl Hartzell,EU-Georgia relations,EUbid,Georgian Dream,Irakli Kobakhidze"
2022-07-20 19:00:00,"Politicians Respond to Judge’s Allegations of MEP, U.S. Pressuring Judiciary",27,"European Union (EU),Georgia,Georgian Dream,Judiciary,Opposition,US Embassy"
2022-07-05 13:01:00,Weekly COVID Update: June 27-July 3,165,"Covid-19,National Center for Disease Control and Public Health"
2022-07-05 14:51:00,3 Persons Sentenced for Batumi Building Collapse,189,"Batumi,Georgia"
2022-07-05 19:03:00,ECHR Accepts Tbilisi Pride’s July 5 Case,231,
2022-07-05 22:02:00,"Public Defender Argues for Banning Far-Right, Pro-Russia Party",231,"Alt-info,Constitutional Court,Georgian Government,July 5 Violence,Public Defender of Georgia"
2022-07-06 12:20:00,President Slams Gov’t Inaction Over Russia-friendly Far-right,304,"Alt-info,Far-right,Georgian Government,July 5 Violence,President Salome Zurabishvili"
2022-07-06 12:34:00,TV Crew Alleges Assault by Far-right Party Members,64,"Georgian Charter of Journalistic Ethics,Georgian Government,Media Freedom,Press Freedom"
2022-07-06 17:31:00,"GD Chair Sees Connection Between Joining War, EU Candidacy",320,"EUbid,Georgian Government,War in Ukraine"
2022-07-07 13:37:00,ECtHR President Meets Georgian PM,155,"European Court of Human Rights (ECHR),Georgian Government,Irakli Garibashvili,Judicial Reforms"
2022-07-07 20:50:00,Opposition Slams GD Over ‘Ultimatum to the EU’,259,"EUbid,Georgian Dream,Irakli Kobakhidze,Opposition"
2022-07-07 18:20:00,GD to Lower Electoral Barrier Only After Getting EU Candidacy,203,"Electoral reform,EUbid,Georgian Government,Irakli Kobakhidze"
2022-07-08 17:07:00,"Opposition Hesitant, as Speaker Hosts First EU Candidacy Strategy Meeting",186,"EUbid,Georgian Dream,Opposition"
2022-07-08 18:57:00,Georgian PM Meets Austrian Chancellor in Vienna,155,"EUbid,Irakli Garibashvili,Prime Minister"
2022-07-08 22:22:00,U.S. Ambassador: “Get to work” for EU Candidacy,405,"EUbid,Georgian Dream,Kelly Degnan"
2022-07-09 13:45:00,"GD Chair: U.S. Ambo Remarks Offensive to Parliament, State",416,"EUbid,Georgian Dream,Irakli Kobakhidze,Kelly Degnan"
2022-07-09 15:10:00,TI Georgia’s Report on Political Finance in 2021,175,"Georgia,political finance,TI Georgia"
2022-06-23 14:59:00,European Parliament Backs EU Perspective for Georgia,279,"EUbid,European Parliament,European Union (EU),Georgia"
2022-06-23 16:41:00,Journalist Reportedly Sacked Over Asking Pointed Questions,35,"Georgian Times,media,Media Freedom,Press Freedom,საქართველო"
2022-06-23 17:03:00,"Georgian PM, Ukrainian Official Trade Barbs",205,"David Arakhamia,EUbid,Georgia,Irakli Garibashvili,Ukraine-Georgia relations,საქართველო"
2022-06-23 19:36:00,"Georgian President Slams PM Over ‘Absurd, Offensive’ Parliamentary Address",589,"Associated Trio,EUbid,Georgian Dream,Irakli Garibashvili,Opposition,President Salome Zurabishvili"
2022-06-23 20:43:00,President Draws GD Ire for Vetoing Surveillance Bill,37,"Georgian Dream,President Salome Zurabishvili,surveillance"
2022-06-23 22:32:00,EU States Recognize Georgia’s European Perspective,548,"European Council,European Union,Georgia,Moldova,Ukraine"
2022-06-24 01:49:00,Georgian Foreign Ministry Reacts to European Council’s Decision,306,"EUbid,European Union,Foreign Ministry of Georgia"
2022-06-24 03:26:00,"Message to Georgians by France’s Macron, Presidents of Commission, European Council",277,"European Council,European Union (EU),Georgia,Ukraine"
2022-06-24 12:59:00,CSOs Take Aim at Georgian Dream as Country Misses EU Candidacy,245,"Civil Society,EUbid"
2022-06-24 15:17:00,PM Says EU Decision “Well-Deserved Achievement”,239,"EUbid,European Commission,Irakli Garibashvili,საქართველო"
2022-06-24 18:08:00,Georgian Opposition Reacts to Missed Candidacy,235,"Bidzina Ivanishvili,EUbid,Georgian Dream,Georgian Government,Opposition"
2022-06-24 20:35:00,"TV Pirveli Crew Attacked, Journalist Says",227,"EP Resolution,Georgian Government,Media Freedom,Press Freedom,TV Pirveli"
2022-06-24 21:08:00,Thousands of Georgians Rally for Europe Again,379,"EUbid,Europe,European Union (EU),Georgia"
2022-06-24 21:42:00,Pro-EU Rally Calls for PM Garibashvili to Resign,530,"EUbid,European Union (EU),Georgia,Irakli Garibashvili,TbilisiProtests"
2022-06-25 19:53:00,Moscow Wants to Move Georgia Talks out of Geneva,285,"Abkhazia,Geneva International Discussions,Georgia,OSCE,Russian Occupation,Tskhinvali Region/South Ossetia"
2022-06-14 12:31:00,Weekly COVID Update: June 6-12,109,"Covid-19,National Center for Disease Control and Public Health"
2022-06-14 13:44:00,Politico: ‘Jury Still Out’ on Georgia’s EU Candidacy,335,"Associated Trio,EUbid,Georgian Government,Ukraine"
2022-06-14 15:52:00,Occupied Abkhazia’s Legislature Complete After Runoff,172,"Abkhazia,Georgia,Russian Occupation"
2022-06-14 16:41:00,CoE Keeps Urging Russia to Pay Georgian Deportation Victims,114,"Council of Europe (CoE),European Court of Human Rights (ECHR),Russia,Russian Occupation"
2022-06-14 17:34:00,CoE Decision on Georgia v. Russia (II) Ruling Execution,187,"European Court of Human Rights (ECHR),Georgia,Russia"
2022-06-14 20:38:00,Georgian Govt Receives 7.73% of Borjomi Shares,225,"Borjomi,Economy,Georgian Government,IDS Borjomi,Russia sanctions,strike"
2022-06-15 14:00:00,Parliament Speaker Visits Scandinavian Countries,119,"EUbid,Shalva Papuashvili"
2022-06-15 11:52:00,President Slams Gov’t Over ‘Spoiled Work’ in Brussels,339,"European Union,Georgia,Salome Zurabishvili,Ursula von der Leyen"
2022-06-15 13:19:00,TV Probe Alleges Security Service Orchestrated Homophobic Pogroms,284,"Georgian Government,Homophobic Pogroms,July 5 Violence,SSG"
2022-06-15 18:15:00,"Deeds Not Words, Public Defender Tells President",158,"EP Resolution,EUbid,Public Defender of Georgia,Salome Zurabishvili"
2022-06-15 20:48:00,PM: EU Pays $1 Bln to Russia Daily Via Trade,168,"EUbid,European Union (EU),Prime Minister Irakli Garibashvili,Russia sanctions"
2022-06-15 18:37:00,Tskhinvali Opens Crossing Points for Lomisoba Festival,224,"Crossing Points,Russian Occupation,Tskhinvali Region/South Ossetia"
2022-06-15 21:31:00,Georgia’s Defense Chief Attends Ukraine Defense Contact Group Meeting,112,"Georgia,Georgian Defense Ministry,NATO,Ukraine"
2022-06-15 23:01:00,"Georgian Dream, Opposition Respond to President",208,"EUbid,Georgian Dream,Opposition,President Salome Zurabishvili"
2022-06-04 12:48:00,Georgia PM Says EU Candidacy Will Propel More Reforms,213,"EUbid,European Union,Georgia,Moldova,Ukraine"
2022-06-04 15:19:00,Georgian-Friendly Abkhazian TikToker Faces Treason Charges,678,"Daur Buava,Russian Occupation"
2022-06-04 17:27:00,"Georgian PM Meets EU Commission VP, Slovak Counterpart",125,"EUbid,Georgian Government,GLOBSEC,Prime Minister Irakli Garibashvili"
2022-06-04 19:17:00,"GID Co-Chairs Visit Sokhumi, Tskhinvali",208,"Abkhazia,Geneva International Discussions,Georgian Government,Russian Occupation,Tskhinvali Region/South Ossetia"
2022-06-06 11:21:00,"Lelo, Girchi More Freedom Join ALDE",130,"EUbid,Girchi - More Freedom,Lelo for Georgia"
2022-06-06 11:57:00,"ALDE Backs EU Candidacies for Georgia, Ukraine, Moldova",184,"ALDE,EUbid,Georgian Government"
2022-06-06 12:55:00,Liberal MP Allegedly Attacked Near Parliament,253,"Khatuna Samnidze,Opposition,Republican Party"
2022-06-06 13:58:00,Alt-Right Party Fined Over Undeclared Funds,174,"Alt-info,Conservative Movement,Far-right,July 5 Violence,State Audit Office"
2022-06-06 15:45:00,"Controversy as Russian Anchor Claims Gagloev Serves Georgian, U.S. Interests",248,"Alan Gagloev,Anatoly Bibilov,Georgia,Russian Occupation,Tskhinvali Region/South Ossetia"
2022-06-06 16:29:00,Rosneft Quits Major Petroleum Firm Operating in Georgia,447,"Gulf Georgia,Russia,Russia sanctions"
2022-06-06 20:20:00,Borjomi Strike: Mediation Relaunched as Gov’t Expects Co-Ownership,139,"Borjomi,Georgian Government,Russia sanctions"
2022-06-06 20:21:00,Ukraine War: Four S. Ossetian Fighters Buried Over the Week,271,"Alan Gagloev,Donbas,Georgia,Russian Occupation,Tskhinvali Region/South Ossetia,War in Ukraine"
2022-06-06 22:05:00,President Suspects Pro-Russian Activities Orchestrated Against EU Bid,322,"Far-right,Georgia,Georgian Dream,President of Georgia,Salome Zurabishvili"
2022-06-06 21:23:00,Georgian Govt Sues President Over Ambassadorial Appointments,378,"Georgia,Georgian Dream,Georgian President"
2022-05-24 20:40:00,Kremlin Finds Fault With Tskhinvali Referendum Question,314,"Alan Gagloev,Anatoly Bibilov,Georgia,Russia,Russian Occupation,Tskhinvali Region/South Ossetia"
2022-05-24 23:57:00,In Photos: Georgians Supporting  Ukraine,185,"Georgia,Ukraine"
2022-05-25 15:21:00,"Tskhinvali Can Always Count on Moscow, Russian Official Says",163,"Alan Gagloev,Dmitry Volvach,Russia,Russian Occupation,Tskhinvali Region/South Ossetia"
2022-05-25 18:01:00,"Davos Panel: Georgia PM, Austria FM Talk EU Enlargement",156,"Alar Karis,Alexander Schallenberg,EUbid,Georgia"
2022-05-25 20:29:00,Russia’s Federation Council Approves Tskhinvali Dual Citizenship Deal,230,"Russian Federation,Russian Occupation,Tskhinvali Region/South Ossetia"
2022-05-25 13:17:00,PM Garibashvili Attends World Economic Forum in Davos,148,"Davos,EU-Georgia relations,Georgian Government,Prime Minister Irakli Garibashvili,World Economic Forum"
2022-05-26 16:45:00,In Photos: Independence Day Celebration in Tbilisi,377,"Democratic Republic of Georgia,May 26"
2022-05-25 23:06:00,"40 More Dismissed from Museum System, Labor Union Says",407,"Culture Ministry,Georgian National Museum,Tea Tsulukiani"
2022-05-26 01:07:00,Opposition Asks EU to Grant Georgia Candidate Status,188,"EUbid,Opposition,Parliament"
2022-05-26 14:09:00,"On Independence Day, Georgia Eyes ‘Return to Europe’",423,"Democratic Republic of Georgia,Georgia,Irakli Garibashvili,Salome Zurabishvili"
2022-05-27 12:25:00,"Explainer: GD, UNM Make Rare Deal to Resolve Local Council Deadlocks",239,"Georgian Dream,Opposition,Parliament of Georgia,Sakrebulo,United National Movement"
2022-05-26 18:44:00,Foreign Leaders Congratulate Georgia on Independence Day,253,"Democratic Republic of Georgia,Salome Zurabishvili"
2022-05-26 17:00:00,Full Text: President Zurabishvili’s Independence Day Speech,130,"Democratic Republic of Georgia,EUbid,Independence Day,Salome Zurabishvili"
2022-05-17 11:47:00,Georgia Participates in U.S.-led Trojan Footprint 2022 Drills,234,"Georgia,Special Operations Forces,Trojan Footprint 2022"
2022-05-17 12:03:00,Another Georgian Fighter Killed in Ukraine,184,"Georgia,Ukraine,War in Ukraine"
2022-05-17 14:36:00,"Study Shows Homophobic Views Still High, But Declining in Georgia",342,"Georgia,Homophobia,IDAHO,LGBT Rights"
2022-05-17 14:12:00,"GD Chief Lumps UNM, CSOs, Gvaramia as ‘Anti-EU’",206,"Irakli Kobakhidze,Nika Gvaramia"
2022-05-17 17:45:00,"Critical TV Boss Sentencing Unlawful, Watchdog Says",125,"Georgian Government,Judiciary,Mtavari Arkhi TV,Nika Gvaramia,Rustavi 2"
2022-05-17 19:15:00,Georgian PM Meets EU Leaders in Brussels,177,"Brussels,Charles Michel,EUbid,European Council,European Parliament,European Union (EU),Roberta Metsola"
2022-05-17 19:35:00,MEPs Say ‘Ungrounded’ TV Boss Verdict Seriously Endangers Georgia’s European Future,357,"European Parliament,Georgian Dream,Nika Gvaramia"
2022-05-17 20:36:00,Weekly COVID Update: May 9 — 15,120,"Covid-19,National Center for Disease Control and Public Health"
2022-05-17 22:23:00,"Amnesty Int’l, HRW Decry Critical TV Chief’s Imprisonment",167,"Amnesty International,Human Rights Watch,Nika Gvarmia"
2022-05-17 23:45:00,Georgian Dream Lawmaker Says Swedish Ex-PM ‘Criminal’,459,"Carl Bildt,Georgian Dream,Irakli Zarkua,Nika Gvaramia"
2022-05-18 13:31:00,"Police Detain, Allegedly Beat Activist Leader",190,"Georgian Government,Police,Shame Movement"
2022-05-18 03:45:00,LGBT Groups Pensive About IDAHO as Church Marks Family Purity Day,245,"Georgia,Georgian Orthodox Church,Ilia II,LGBT Rights"
2022-05-18 13:58:00,"Update: NATO Chief to Host Georgia PM, After Reported Cancelation",271,"Irakli Garibashvili,Jens Stolstenberg,NATO-Georgia relations"
2022-05-18 14:38:00,Kremlin Comments on S. Ossetian Annexation Referendum,232,"Dmitry Peskov,Georgia,Kremlin,Tskhinvali Region/South Ossetia"
2022-05-03 17:05:00,Czech Senate President Visits Georgia,178,"Czech Republic,Miloš Vystrčil"
2022-05-03 18:04:00,Court Finds Five Guilty of Islamic State Membership,279,"Islamic State,Pankisi,State Security Service,Terrorism"
2022-05-04 20:42:00,COVID Georgia Live Blog: Wrapped Up After Two Years,281060,"Abkhazia,Coronavirus,Covid-19,Georgia,Omicron,pandemic,მთავარი"
2022-05-04 13:37:00,Armenian Security Council Secretary Visits Tbilisi,196,"Armen Grigoryan,Armenia,Irakli Garibashvili,Vakhtang Gomelauri"
2022-05-04 16:32:00,State Audit Finds Possible Local Gov’t Corruption in Kutaisi,140,"Georgian Government,Kutaisi,State Audit Office"
2022-05-04 19:36:00,Court Rules 2019 Dismissal of Rustavi 2 TV Employees Unlawful,148,"Kibar Khalvashi,Nanuka Zhorzholiani,Nika Gvaramia,Nodar Meladze,Paata Salia,Rustavi 2,Tbilisi City Court"
2022-05-05 11:43:00,"Ukraine’s Presidential Advisor, Georgian Officials Trade Accusations",304,"Russia sanctions,Ukraine,Ukraine-Georgia relations"
2022-05-05 13:13:00,Armenian Defense Minister Visits Tbilisi,152,"Armenia,defense ministry,Irakli Garibashvili,Juansher Burchuladze,Suren Papikyan"
2022-05-05 17:38:00,Top Virologist Mulls Quitting as Minister Alleges COVID Fund Misuse,151,"Covid-19,Government of Georgia,Ministry of Health,pandemic"
2022-05-05 14:08:00,CoE Committee of Ministers Decision on Conflict in Georgia,188,"Abkhazia,Council of Europe,Russian Occupation,Tskhinvali Region/South Ossetia"
2022-05-05 19:01:00,Russian-Owned Borjomi Sacks 49 Workers Amid Sanctions Fallout,313,"Borjomi,Irakli Garibashvili,Labor rights,Russia sanctions"
2022-04-24 08:04:00,"Patriarch Condemns Russia’s War, Atrocities in Ukraine",321,"Georgia,Georgian Orthodox Church,Ilia II,Russia"
2022-04-24 08:56:00,Tskhinvali Court Rejects Runoff Date,308,"Georgia,Russian Occupation,Tskhinvali Region/South Ossetia"
2022-04-25 22:28:00,Georgian Citizen Released from Occupied Tskhinvali,180,"Georgia,Russian Occupation,Tskhinvali Region/South Ossetia"
2022-04-25 23:12:00,S. Ossetian Runoffs Rescheduled to May 8,279,"Georgia,Russian Occupation,Tskhinvali Region/South Ossetia"
2022-04-26 10:19:00,President Zelenskyy on Relations with Georgian Government,474,"Georgia,Georgian Dream,Ukraine,Volodymyr Zelenskyy"
2022-04-26 11:41:00,"Russian Diplomat on Abkhazia, S. Ossetia, Geneva Talks",457,"Abkhazia,Denis Gonchar,Geneva International Discussions,IPRM,Russia,Russian Occupation,Tskhinvali Region/South Ossetia"
2022-04-26 13:56:00,"Tapes Suggest Business Dealings Between Ivanishvili, Sanctioned Russian Tycoon",893,"Bidzina Ivanishvili,Georgian Dream,Russia sanctions,War in Ukraine"
2022-04-26 17:39:00,ODIHR’s Final Report on October 2021 Local Elections,155,"Elections,Georgia,Gvote21,OSCE/ODIHR"
2022-04-26 17:57:00,Conflicting Reports on Russian Tycoon Meeting Georgian PM,422,"Bidzina Ivanishvili,David Khidasheli,Irakli Garibashvili"
2022-04-26 21:48:00,"Alt-Right, Pro-Russia Party Chair Talks Resignation",665,"Alt-right,Conservative Movement,Far-right,Georgia,Russia,Zurab Makharadze"
2022-04-27 11:49:00,Georgian FM Meets Azerbaijan’s Aliyev,193,"Azerbaijan,Foreign Ministry,Georgia,Ilham Aliyev,Ilia Darchiashvili"
2022-04-27 14:13:00,Controversial Surveillance Law Clears First Hurdle,208,"meta,Parliament of Georgia,surveillance,Wiretapping"
2022-04-27 16:03:00,Report Details Ivanishvili’s Purported Business Links to Russia,558,"Bidzina Ivanishvili,Georgian Dream,meta,Russia,Transparency International Georgia"
2022-04-13 09:51:00,U.S. Report Critical on Human Rights Practices in Georgia,401,"Abkhazia,Georgia,Human Rights,Irakli Garibashvili,meta,State Security Service,Tskhinvali Region/South Ossetia,U.S. State Department"
2022-04-13 11:58:00,Georgia’s Foreign Trade Up 38% in January-March,129,"Economy,Foreign Trade,Geostat,National Statistics Office"
2022-04-13 14:00:00,Parliament Speaker Makes U-Turn on Rejected Ukraine Trip,188,"Irakli Kobakhidze,Ruslan Stefanchuk,Shalva Papuashvili,Ukraine-Georgian Relations"
2022-04-13 15:54:00,Parliament Confirms Two for Public TV Board,108,"Georgian Public Broadcaster,Lasha Tugushi,Parliament of Georgia,Vasil Maglaperidze"
2022-04-13 14:49:00,Parliament Elects Girchi MP Iago Khvichia to Prosecutorial Council,117,"Parliament,Prosecutorial Council"
2022-04-13 17:45:00,Key MEPs Reject S. Ossetia Polls,197,"European Parliament,Marina Kaljurand,Sven Mikser,Tskhinvali Region/South Ossetia"
2022-04-13 18:59:00,"Georgian, Ukrainian Legislature Speakers Hold Video Call",162,"Ruslan Stefanchuk,Shalva Papuashvili,Ukraine-Georgia relations"
2022-04-14 13:59:00,Georgian FM Visits Czech Republic,152,"Czech Republic,EU-Georgia relations,Ilia Darchiashvili,Mikuláš Bek"
2022-04-14 11:53:00,One Arrested in Gori Over Misappropriation for Betting,98,"Gori,State Audit Office,State Security Service"
2022-04-14 14:41:00,Tskhinvali Runoff Race Slated for April 28,203,"Alan Gagloev,Anatoly Bibilov,Tskhinvali Region/South Ossetia"
2022-04-14 16:54:00,GD Adopts Key Legal Changes to Sue President,147,"Georgian Dream,Parliament,President,Salome Zurabishvili"
2022-04-06 21:06:00,Explainer: Elections in Tskhinvali,822,"Anatoly Bibilov,Georgia,meta,Russian Occupation,Tskhinvali Region/South Ossetia"
2022-04-14 19:29:00,"GD, Opposition Agree on Joint Ukraine Trip, UNM Rejects",257,"Georgian Dream,Khatia Dekanoidze,Shalva Papuashvili,United National Movement"
2022-04-15 11:19:00,Opposition Appeals EU Commissioner Over Questionnaire,165,"EUbid,European Union,Georgia"
2022-04-15 12:20:00,"FM Darchiashvili Meets Czech Counterpart, Speaker",99,"Czech Republic,Foreign Ministry,Ilia Darchiashvili,Jan Lipavský,Markéta Pekarová Adamová"
2022-04-06 19:05:00,Tbilisi Says Citizen Detained Near Tskhinvali Occupation Line,143,"Georgia,Russian Occupation,State Security Service,Tskhinvali Region/South Ossetia,საქართველო"
2022-04-06 23:13:00,Georgia to Imminently Receive EU Membership Questionnaire – Report,590,"Brussels,EUbid,Euripean Commission,European Union,Georgia"
2022-04-06 22:34:00,NATO Chief: Better Support Georgia Sooner Than Later,232,"Georgia,Jens Stoltenberg,NATO,War in Ukraine"
2022-04-07 00:11:00,Kove Returns to Abkhaz Cabinet as ‘Culture Minister’,136,"Abkhazia,Aslan Bzhania,Daur Kove,Russian Occupation"
2022-04-06 18:26:00,Swedish Defense Minister Visits Tbilisi,148,"defense ministry,Juansher Burchuladze,Peter Hultqvist"
2022-04-15 13:10:00,Energy Prices to Hike in Abkhazia,186,"Abkhazia,Russian Occupation"
2022-04-07 12:20:00,Georgia Joins EU Declaration on Russia’s Bucha Atrocities,200,"European Union,Georgia,Georgia-Ukraine relations,Josep Borrell,Ukraine"
2022-04-07 15:21:00,Georgian Medics Volunteer in Ukraine,185,"Georgian Medics,War in Ukraine"
2022-04-07 17:07:00,Georgian FM Attends NATO Ministerial,147,"Ilia Darchiashvili,NATO,NATO-Georgia relations,War in Ukraine"
2022-04-07 19:08:00,NATO Allies Agree to Help Strengthen Georgia’s Resilience,198,"Jens Stoltenberg,NATO Secretary General,NATO-Georgia relations"
2022-04-07 21:23:00,Tskhinvali Registers Group for Russian Annexation Referendum,358,"Georgia,Russia,Russian Occupation,Tskhinvali Region/South Ossetia"
2022-04-07 18:34:00,"Turkish Interior Minister Meets Georgian PM, Counterpart",123,"Interior Ministry,Irakli Garibashvili,Süleyman Soylu,Turkey,Vakhtang Gomelauri"
2022-04-07 17:36:00,U.S. Congressman Talks “Troubling Trends” in Georgia,203,"Congress,Democracy,Georgia,United States"
2022-04-07 22:57:00,Georgia Among Top Desired Destinations for Russian IT Job Seekers,251,"Georgia,Russia,War in Ukraine"
2022-04-07 16:54:00,U.S. House Foreign Committee Adopts Georgia Support Act,180,"Georgia,Georgia Support Act,U.S. Congress,U.S.-Georgia relations"
2022-04-08 00:04:00,Russia Accuses Georgia of Mosquito Invasion,1653,"Georgia,Igor Kirillov,Russia,Russian Defense Ministry,U.S.,War in Ukraine"
2022-03-31 12:34:00,"Ukraine: Russia Brought 2,000 Troops from Abkhazia, Tskhinvali",536,"Abkhazia,Georgia,Russia,Tskhinvali Region/South Ossetia,Ukraine,War in Ukraine"
2022-03-31 14:18:00,Georgia’s President Backs Autocephaly of Ukrainian Church,232,"Georgia,Georgian Orthodox Church,Moscow Patriarchate,Salome Zurabishvili,Ukraine"
2022-03-31 13:09:00,Repeat Votes for Two ‘Parliament Seats’ Set in Abkhazia,110,"Abkhazia,Russian Occupation"
2022-03-31 11:51:00,Fallen Georgian Fighter Repatriated From Ukraine,115,"Davit Gobejishvili,Georgia,Irpin,War in Ukraine"
2022-03-31 13:41:00,Tbilisi Decries Proposed Tskhinvali Referendum to Join Russia,390,"David Zalkaliani,Russian Occupation,Tskhinvali Region/South Ossetia"
2022-03-31 16:06:00,"Rustavi, Batumi Brace For April 2 By-Elections",176,"Batumi,Batumi Sakrebulo,By-elections,Georgia,Georgian Dream,Lelo,Parliament,Rustavi,United National Movement"
2022-03-31 15:34:00,Kazakhstan Seeks Georgia Shipping Route to Bypass Russia,344,"Economy,Georgia,Kazakhstan,Russia,War in Ukraine"
2022-03-31 17:24:00,In Quotes: Political Reactions to Tskhinvali Leader’s Intention on Joining Russia,173,"Georgian Dream,Lelo for Georgia,New Political Center - Girchi,Strategy Aghmashenebeli,United National Movement"
2022-03-31 18:45:00,Kremlin on Possible S. Ossetia Annexation,356,"Georgia,Russia,Russian Occupation,Tskhinvali Region/South Ossetia"
2022-03-31 19:38:00,"Georgian, Kazakh FMs Talk Trans-Caspian Route on Phone",200,"Economy,Georgia,Kazakhstan,Russia,War in Ukraine"
2022-03-31 19:52:00,Russian Cheerleaders of Possible Annexation of Georgia’s Region – List,387,"Georgia,Russia,Russian Occupation,Tskhinvali Region/South Ossetia"
2022-03-31 19:08:00,Danish FM Visits Tbilisi,146,"Denmark,Georgia,President Salome Zurabishvili"
2022-03-24 11:14:00,In Photos | Georgians Attend Grim Homecoming for Fighters Killed in Ukraine,704,"Davit Ratiani,Georgia,Gia Beriashvili,Ukraine"
2022-03-31 20:11:00,Speaker Papuashvili Meets Belgian Counterparts,106,"Belgium,Eliane Tillieux,Georgian Parliament,Shalva Papuashvili,Stephanie D’Hose"
2022-03-31 20:12:00,Mining Blamed for Landslides Crashing Homes in West Georgia,192,"Chiatura,Georgia,Georgian Manganese"
2022-03-31 23:43:00,Georgian Citizen Detained Near Tskhinvali Occupation Line,191,"Georgia,Russian Occupation,State Security Service,Tskhinvali Region/South Ossetia"
2022-03-31 23:50:00,U.S. Reacts to Russia’s Possible Annexation of S. Ossetia,601,"Department of State,Georgia,Ned Price,Russia,Tskhinvali Region/South Ossetia,United States"
2022-03-23 17:16:00,Abkhaz Diplomat Visits Moscow,175,"Abkhazia,Georgia,Inal Ardzinba"
2022-03-24 13:50:00,Top NATO Intelligence Official Meets Georgian PM,150,"Georgia,Irakli Garibashvili,NATO,NATO-Georgia relations"
2022-03-23 18:20:00,Top NATO Intelligence Official Visits Tbilisi,297,"Georgia,NATO,NATO-Georgia relations"
2022-03-24 15:04:00,2008 War: ECHR Throws Out 370 Applications Against Georgia,501,"European Court of Human Rights (ECHR),Georgia,meta,Russian Occupation,Russo-Georgian war"
